objectID,post_title,url,ingredient,label,quantity,type,section,label_zone,label_qte,label_unite,label_unite_gr,section_zone,section_qte,section_unite,aliment,kcal_100gr,quantity_gr,quantity_kcal,label_qte_gr,proteine_100gr,glucides_100gr,calcium_100gr,quantity_calcium
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,"<p>(1 ? tasse) deau pétillante</p>
",,11,ingredient,,,,,,,4,,Eau du robinet,0,"77,96",,,0,0,"7,13","5,56"
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,"<p>4 rondelles de pamplemousse</p>
",,,ingredient,,,,,,,4,,"Pomelo (dit Pamplemousse) jaune, pulpe, cru",,,,,"0,69","7,31",12,
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,"<p>4 rondelles de citron</p>
",,,ingredient,,,,,,,4,,"Citron, pulpe, cru","27,6",,,,,"1,56",11,
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,,,,section,Garnitures,,,,,,4,,,,,,,,,,
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,,"<p>Rondelles dagrumes (pour les verres)</p>
",,ingredient,,,,verre,250,,4,,,,,,,,,,
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,"<p>de gin</p>
",,2,section,Pour 1 verre,,,,,1 verre,1,verre,Gin,265,"56,7",,,0,0,0,0
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,"<p>de gin</p>
",,2,ingredient,,,,,,,1,,Gin,265,"56,7",,,0,0,0,0
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,"<p>de jus de lime frais</p>
",,1,ingredient,,,,,,,1,,"Jus de citron vert, pur jus",,"28,35",,,"0,25","1,24",12,"3,4"
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,"<p>de sirop dérable</p>
",,"0,5",ingredient,,,,,,,1,,Sirop d'érable,,"14,17",,,"0,04","67,1",106,"15,02"
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,,"<p>1 blanc doeuf</p>
",,ingredient,,1 blanc ,1,blanc ,30,,1,,,,30,,30,,,,
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,,"<p>8 feuilles de basilic</p>
",,ingredient,,8 feuilles de basilic,8,feuille,5,,1,,,,40,,40,,,,
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,,,,section,Garniture,,,,,,1,,,,,,,,,,
cocktail_436,Il Basilico,https://1ou2cocktails.com/cocktails/il-basilico/,,"<p>1 Feuille de basilic</p>
",,ingredient,,,,,,,1,,,,,,,,,,
cocktail_224,Stinger,https://1ou2cocktails.com/cocktails/stinger/,"<p>de cognac</p>
",,2,section,Pour 2 shooters,,,,,2 shooters,2,shooter,"Eau de vie de vin, type armagnac, cognac",229,"28,35",,,0,"0,37","0,5","0,14"
cocktail_224,Stinger,https://1ou2cocktails.com/cocktails/stinger/,"<p>de cognac</p>
",,2,ingredient,,,,,,,2,,"Eau de vie de vin, type armagnac, cognac",229,"28,35",,,0,"0,37","0,5","0,14"
